Issuer,Class,Cusip,Value,SharesPrnAmount,Type,PutCall,InvestmentDiscretion,SoleVoting,SharedVoting,NonVoting,Ticker,Date
Insteel Inds Inc,COM,45774W108,640,55000,SH,,Other,0,0,55000,01,2008-03-31
Intl Rectifier Corp,COM,460254105,1929,89700,SH,,Other,0,0,89700,02,2008-03-31
Istar Finl Inc,COM,45031UBF7,142,204000,SH,,Other,0,0,204000,02,2008-03-31
K Tron Intl Inc,COM,482730108,637,5300,SH,,Other,0,0,5300,01,2008-03-31
Kennametal Inc,COM,489170100,394,13400,SH,,Other,0,0,13400,01,2008-03-31
K Swiss Inc,A,482686102,411,26000,SH,,Other,0,0,26000,01,2008-03-31
Lancaster Colony,COM,513847103,1371,34300,SH,,Other,0,0,34300,01,2008-03-31
Lawson Prods Inc,COM,520776105,882,32000,SH,,Other,0,0,32000,01,2008-03-31
Liberty Media Corp A,COM,53071M302,405,25700,SH,,Other,0,0,25700,02,2008-03-31
Liberty Media Corp,COM,53071M500,1318,58200,SH,,Other,0,0,58200,02,2008-03-31
Louisiana Pac Corp,COM,546347105,1223,133200,SH,,Other,0,0,133200,02,2008-03-31
Lubrizol Corp,COM,549271104,527,9500,SH,,Other,0,0,9500,01,2008-03-31
Magna Intl Inc,COM,559222401,1494,20700,SH,,Other,0,0,20700,02,2008-03-31
Massey Energy,COM,576206106,1013,27750,SH,,Other,0,0,27750,02,2008-03-31
MFA Mtg Invts Inc,COM,55272X102,673,106900,SH,,Other,0,0,106900,02,2008-03-31
MFC Ishares Mid Val,,464287473,3999,31100,SH,,Other,0,0,31100,02,2008-03-31
Mks Instrs Inc,COM,55306N104,535,25000,SH,,Other,0,0,25000,01,2008-03-31
Mps Group Inc,COM,553409103,319,27000,SH,,Other,0,0,27000,01,2008-03-31
Natco Group Inc CL A,COM,63227W203,234,5000,SH,,Other,0,0,5000,01,2008-03-31
Natl Beverage Corp,COM,635017106,124,16200,SH,,Other,0,0,16200,01,2008-03-31
Natl Cy Corp,COM,635405103,3096,311200,SH,,Other,0,0,311200,02,2008-03-31
Natl Presto Inds Inc,COM,637215104,1834,35000,SH,,Other,0,0,35000,01,2008-03-31
Navistar Intl,COM,63934E108,5370,89278,SH,,Other,0,0,89278,02,2008-03-31
Nii Hldgs Inc,COM,62913F201,486,15300,SH,,Other,0,0,15300,02,2008-03-31
Nordson Corp,COM,655663102,512,9500,SH,,Other,0,0,9500,01,2008-03-31
Omnicare Inc,COM,681904108,1762,97050,SH,,Other,0,0,97050,02,2008-03-31
Park Electrochem Corp,COM,700416209,892,34500,SH,,Other,0,0,34500,01,2008-03-31
PMI Group Inc,COM,69344M101,490,84250,SH,,Other,0,0,84250,02,2008-03-31
Qimonda AG Adr,COM,746904101,1678,389400,SH,,Other,0,0,389400,02,2008-03-31
Quanex Corp,COM,747620102,983,19000,SH,,Other,0,0,19000,01,2008-03-31
Redwood Tr Inc,COM,758075402,2490,68500,SH,,Other,0,0,68500,02,2008-03-31
Regal Beloit Corp,COM,758750103,667,18200,SH,,Other,0,0,18200,01,2008-03-31
Reliant Energy Inc,COM,75952B105,4049,171200,SH,,Other,0,0,171200,02,2008-03-31
Renaissance Re Hldgs Ltd,COM,G7496G103,1464,28200,SH,,Other,0,0,28200,02,2008-03-31
Rimage Corp,COM,766721104,318,14500,SH,,Other,0,0,14500,01,2008-03-31
Rofin Sinar Tech,COM,775043102,1738,38700,SH,,Other,0,0,38700,01,2008-03-31
Royal Carribbean,COM,V7780T103,1763,53600,SH,,Other,0,0,53600,02,2008-03-31
RPC Inc,COM,749660106,482,31700,SH,,Other,0,0,31700,01,2008-03-31
Ryder Sys Inc,COM,783549108,2811,46150,SH,,Other,0,0,46150,02,2008-03-31
SW Airl,COM,844741108,143,11500,SH,,Other,0,0,11500,02,2008-03-31
Schulman A Inc,COM,808194104,216,10500,SH,,Other,0,0,10500,01,2008-03-31
St Joe,COM,790148100,899,20950,SH,,,0,0,20950,02,2008-03-31
Standex Intl Corp,COM,854231107,838,37500,SH,,Other,0,0,37500,01,2008-03-31
Superior Well Inc,COM,86837X105,429,19600,SH,,Other,0,0,19600,01,2008-03-31
Thomas & Betts Corp,COM,884315102,647,17800,SH,,Other,0,0,17800,01,2008-03-31
Trico Marine Svcs Inc,COM,896106200,818,21000,SH,,Other,0,0,21000,01,2008-03-31
Tyson Foods Inc Cl A,COM,902494103,1065,66750,SH,,Other,0,0,66750,02,2008-03-31
Unum Corp,COM,91529Y106,788,35800,SH,,Other,0,0,35800,02,2008-03-31
Visteon Corp,COM,92839U107,525,139550,SH,,Other,0,0,139550,02,2008-03-31
Wabtec Corp,COM,929740108,456,12100,SH,,Other,0,0,12100,01,2008-03-31
Washngtn Mut Inc,COM,939322814,2592,3650,SH,,Other,0,0,3650,02,2008-03-31
Watsco Inc,COM,942622200,754,18200,SH,,Other,0,0,18200,01,2008-03-31
Watson Wyatt Hldgs A,COM,942712100,528,9300,SH,,Other,0,0,9300,01,2008-03-31
Wolseley Plc,COM,97786P100,738,70050,SH,,Other,0,0,70050,02,2008-03-31
XM Satlite Radio Hldgs,COM,983759101,1558,134100,SH,,Other,0,0,134100,02,2008-03-31
AU Optronics Corp,ADR,002255107,4349,226514,SH,,Other,0,0,226514,02,2007-12-31
Adv Med,Optics,00763M108,232,9450,SH,,Other,0,0,9450,02,2007-12-31
Adv Med Optics 00763MAK4 78,,,,98000,SH,,Other,0,0,98000,02,2007-12-31
Adv Energy Inds Inc,COM,007973100,186,14200,SH,,Other,0,0,14200,01,2007-12-31
Alexander & Baldwin Inc,COM,014482103,1258,24350,SH,,Other,0,0,24350,02,2007-12-31
Amern Finl Rlty,COM,02607P305,492,61350,SH,,Other,0,0,61350,02,2007-12-31
Ampco Corp,COM,032037103,705,18500,SH,,Other,0,0,18500,01,2007-12-31
Annaly Cap Mgmt Inc,COM,035710409,8306,456875,SH,,Other,0,0,456875,02,2007-12-31
Anntaylor Stores Corp,COM,036115103,601,23500,SH,,Other,0,0,23500,01,2007-12-31
Applied Indl Tech,COM,03820C105,813,28000,SH,,Other,0,0,28000,01,2007-12-31
Apt Invt & Mgmt Co CL A,COM,03748R101,639,18400,SH,,Other,0,0,18400,02,2007-12-31
Arch Coal Inc,COM,039380100,7694,171250,SH,,Other,0,0,171250,02,2007-12-31
Arden Group A,COM,039762109,1238,8000,SH,,Other,0,0,8000,01,2007-12-31
Arkansas Best,Corp,040790107,323,14700,SH,,Other,0,0,14700,01,2007-12-31
Atrion Corp,COM,049904105,701,5500,SH,,Other,0,0,5500,01,2007-12-31
Avnet Inc,COM,053807103,2073,59275,SH,,Other,0,0,59275,02,2007-12-31
Avx Corp,COM,002444107,360,26800,SH,,Other,0,0,26800,01,2007-12-31
Bearingpoint Inc,COM,074002106,978,345750,SH,,Other,0,0,345750,02,2007-12-31
Bio Rad Labs Cl A,COM,090572207,1907,18400,SH,,Other,0,0,18400,01,2007-12-31
Bombardier Inc Cl B,COM,097751200,2659,445150,SH,,Other,0,0,445150,02,2007-12-31
Boston Scientific Corp,COM,101137107,453,38950,SH,,Other,0,0,38950,02,2007-12-31
Bowl Amer Inc Cl A,COM,102565108,461,29000,SH,,Other,0,0,29000,01,2007-12-31
Brown Shoe Inc,COM,115736100,613,40400,SH,,Other,0,0,40400,01,2007-12-31
Brunswick Corp,COM,117043109,310,18200,SH,,Other,0,0,18200,02,2007-12-31
Cameco Corp,COM,13321L108,1212,30450,SH,,Other,0,0,30450,02,2007-12-31
Carlisle Companies Inc,COM,142339100,759,20500,SH,,Other,0,0,20500,01,2007-12-31
Carpenter Tech Corp,COM,144285103,1541,20500,SH,,Other,0,0,20500,01,2007-12-31
Carter Inc,COM,146229109,404,20900,SH,,Other,0,0,20900,01,2007-12-31
Cascade Corp,COM,147195101,660,14200,SH,,Other,0,0,14200,01,2007-12-31
CBL & Assoc Pptys Inc,COM,124830100,491,20550,SH,,Other,0,0,20550,02,2007-12-31
CEC Entmt Inc,COM,125137109,467,18000,SH,,Other,0,0,18000,01,2007-12-31
Celestica Sub Vtg,COM,15101Q108,1022,176250,SH,,Other,0,0,176250,02,2007-12-31
Chemtura Corp,COM,163893100,507,65050,SH,,Other,0,0,65050,02,2007-12-31
Chicos Fas,COM,168615102,960,106350,SH,,Other,0,0,106350,02,2007-12-31
Cit Group Inc,COM,125581405,563,29850,SH,,Other,0,0,29850,02,2007-12-31
Consol Energy Inc,COM,20854P109,386,5400,SH,,Other,0,0,5400,02,2007-12-31
CSS Inds Inc,COM,125906107,1156,31500,SH,,Other,0,0,31500,01,2007-12-31
CSX Corp,COM,126408103,1561,35500,SH,,Other,0,0,35500,02,2007-12-31
Curtiss Wright Corp,COM,231561101,665,13250,SH,,Other,0,0,13250,02,2007-12-31
Cyberoptics Corp,COM,232517102,268,22300,SH,,Other,0,0,22300,01,2007-12-31
Cytec Ind,COM,232820100,459,7450,SH,,Other,0,0,7450,02,2007-12-31
DeVRY Inc Del,COM,251893103,15957,307101,SH,,Sole,307101,0,0,,2007-12-31
Dorman Prods Inc,COM,258278100,826,57800,SH,,Other,0,0,57800,01,2007-12-31
D R Horton Inc,COM,23331A109,3778,286850,SH,,Other,0,0,286850,02,2007-12-31
Escalade Inc,COM,296056104,548,60000,SH,,Other,0,0,60000,01,2007-12-31
Ethan Allen Int,COM,297602104,627,22000,SH,,Other,0,0,22000,01,2007-12-31
Fed Home Ln Mtg Corp,COM,313400301,4170,122400,SH,,Other,0,0,122400,02,2007-12-31
Fidelity Natl Fin Inc,COM,31620R105,1083,74100,SH,,Other,0,0,74100,02,2007-12-31
Foot Locker Inc,COM,344849104,171,12500,SH,,Other,0,0,12500,02,2007-12-31
Frischs Rstaurnts Inc,COM,358748101,503,21500,SH,,Other,0,0,21500,01,2007-12-31
Genlyte Group Inc,COM,372302109,1285,13500,SH,,Other,0,0,13500,01,2007-12-31
Genworth Finl Inc Cl,A,37247D106,2509,98600,SH,,Other,0,0,98600,02,2007-12-31
Hilb Rogal & Hobbs,COM,431294107,1481,36500,SH,,Other,0,0,36500,01,2007-12-31
HNI Corp,COM,404251100,224,6400,SH,,Other,0,0,6400,01,2007-12-31
Hubbell Inc Cl B,COM,443510201,516,10000,SH,,Other,0,0,10000,01,2007-12-31
Hunt J B Trans Svcs,COM,445658107,1756,63750,SH,,Other,0,0,63750,02,2007-12-31
Hurco Co,COM,447324104,371,8500,SH,,Other,0,0,8500,01,2007-12-31
Imation Corp,COM,45245A107,305,14500,SH,,Other,0,0,14500,01,2007-12-31
Insteel Inds Inc,COM,45774W108,645,55000,SH,,Other,0,0,55000,01,2007-12-31
Intl Rectifier Corp,COM,460254105,1855,54600,SH,,Other,0,0,54600,02,2007-12-31
Istar Finl Inc,COM,45031U101,281,10800,SH,,Other,0,0,10800,02,2007-12-31
Istar Finl Sr Nt Conv COM 45031UBF7 76,,,,85000,SH,,Other,0,0,85000,02,2007-12-31
Jack In Box Inc,COM,466367109,232,9000,SH,,Other,0,0,9000,01,2007-12-31
K Tron Intl Inc,COM,482730108,656,5500,SH,,Other,0,0,5500,01,2007-12-31
Kennametal Inc,CAP,489170100,507,13400,SH,,Other,0,0,13400,01,2007-12-31
K Swiss Inc,A,482686102,471,26000,SH,,Other,0,0,26000,01,2007-12-31
Lancaster Colony,COM,513847103,1330,33500,SH,,Other,0,0,33500,01,2007-12-31
Lawson Prods Inc,COM,520776105,1213,32000,SH,,Other,0,0,32000,01,2007-12-31
Liberty Media Corp,COM,53071M302,1759,15100,SH,,Other,0,0,15100,02,2007-12-31
Lubrizol Corp,COM,549271104,515,9500,SH,,Other,0,0,9500,01,2007-12-31
Magna Intl Inc,COM,559222401,1335,16600,SH,,Other,0,0,16600,02,2007-12-31
Massey Energy,COM,576206106,2363,66100,SH,,Other,0,0,66100,02,2007-12-31
Met Pro Corp,COM,590876306,165,13666,SH,,Other,0,0,13666,01,2007-12-31
MFC Ishares Mid Val,,464287473,5173,36675,SH,,Other,0,0,36675,02,2007-12-31
Mks Instrs Inc,COM,55306N104,479,25000,SH,,Other,0,0,25000,01,2007-12-31
Mps Group Inc,COM,553409103,252,23000,SH,,Other,0,0,23000,01,2007-12-31
Natco Group Inc CL A,COM,63227W203,244,4500,SH,,Other,0,0,4500,01,2007-12-31
Natl Beverage Corp,COM,635017106,105,13100,SH,,Other,0,0,13100,01,2007-12-31
Natl Cy Corp,COM,635405103,2733,166050,SH,,Other,0,0,166050,02,2007-12-31
Natl Presto Inds Inc,COM,637215104,1817,34500,SH,,Other,0,0,34500,01,2007-12-31
Navistar Intl,COM,63934E108,6221,114778,SH,,Other,0,0,114778,02,2007-12-31
Nordson Corp,COM,655663102,551,9500,SH,,Other,0,0,9500,01,2007-12-31
Omnicare Inc,COM,681904108,1878,82350,SH,,Other,0,0,82350,02,2007-12-31
Park Electrochem Corp,COM,700416209,884,31300,SH,,Other,0,0,31300,01,2007-12-31
PMI Group Inc,COM,69344M101,1100,82800,SH,,Other,0,0,82800,02,2007-12-31
Qimonda AG Adr,COM,746904101,578,80850,SH,,Other,0,0,80850,02,2007-12-31
Quanex Corp,COM,747620102,986,19000,SH,,Other,0,0,19000,01,2007-12-31
Redwood Tr Inc,COM,758075402,2356,68800,SH,,Other,0,0,68800,02,2007-12-31
Regal Beloit Corp,COM,758750103,809,18000,SH,,Other,0,0,18000,01,2007-12-31
Reliant Energy Inc,COM,75952B105,5345,203700,SH,,Other,0,0,203700,02,2007-12-31
Renaissance Re Hldgs Ltd,COM,G7496G103,1620,26900,SH,,Other,0,0,26900,02,2007-12-31
Rimage Corp,COM,766721104,337,13000,SH,,Other,0,0,13000,01,2007-12-31
Rofin Sinar Tech,COM,775043102,1953,40600,SH,,Other,0,0,40600,01,2007-12-31
Royal Carribbean,COM,V7780T103,2097,49400,SH,,Other,0,0,49400,02,2007-12-31
RPC Inc,COM,749660106,349,29800,SH,,Other,0,0,29800,01,2007-12-31
Ryder Sys Inc,COM,783549108,2494,53050,SH,,Other,0,0,53050,02,2007-12-31
Schulman A Inc,COM,808194104,300,13900,SH,,Other,0,0,13900,01,2007-12-31
Sovereign Bancorp Inc,COM,845905108,921,80750,SH,,,0,0,80750,02,2007-12-31
Standex Intl Corp,COM,854231107,654,37500,SH,,Other,0,0,37500,01,2007-12-31
Superior Well Inc,COM,86837X105,386,18200,SH,,Other,0,0,18200,01,2007-12-31
Thomas & Betts Corp,COM,884315102,809,16500,SH,,Other,0,0,16500,01,2007-12-31
Trico Marine Svcs Inc,COM,896106200,777,21000,SH,,Other,0,0,21000,01,2007-12-31
Tyson Foods Inc Cl A,COM,902494103,1001,65300,SH,,Other,0,0,65300,02,2007-12-31
Unum Corp,COM,91529Y106,921,38700,SH,,Other,0,0,38700,02,2007-12-31
Visteon Corp,COM,92839U107,613,139550,SH,,Other,0,0,139550,02,2007-12-31
Wabtec Corp,COM,929740108,351,10200,SH,,Other,0,0,10200,01,2007-12-31
Washngtn Mut Inc Non Cum Perp,,939322814,1328,1500,SH,,Other,0,0,1500,02,2007-12-31
Watsco Inc,COM,942622200,603,16400,SH,,Other,0,0,16400,01,2007-12-31
Watson Wyatt Hldgs A,COM,942712100,464,10000,SH,,Other,0,0,10000,01,2007-12-31
XM Satlite Radio Hldgs,COM,983759101,2466,201450,SH,,Other,0,0,201450,02,2007-12-31
Zygo Corp,COM,989855101,127,10200,SH,,Other,0,0,10200,01,2007-12-31
AU Optronics Corp,ADR,002255107,3976,235014,SH,,Other,0,0,235014,02,2007-09-30
Adv Medic,Optics,00763M108,369,12050,SH,,Other,0,0,12050,02,2007-09-30
Agco Corp,COM,001084102,1579,31100,SH,,Other,0,0,31100,02,2007-09-30
Alexander & Baldwin Inc,COM,014482103,1153,23000,SH,,Other,0,0,23000,02,2007-09-30
Ampco Corp,COM,032037103,571,14500,SH,,Other,0,0,14500,01,2007-09-30
Andrew Corp,COM,034425108,1798,129850,SH,,Other,0,0,129850,02,2007-09-30
Annaly Cap Mgmt Inc,COM,035710409,7442,467150,SH,,Other,0,0,467150,02,2007-09-30
Anntaylor Stores Corp,COM,036115103,773,24400,SH,,Other,0,0,24400,01,2007-09-30
Applied Indl Tech,COM,03820C105,863,28000,SH,,Other,0,0,28000,01,2007-09-30
Arch Coal Inc,COM,039380100,5744,170250,SH,,Other,0,0,170250,02,2007-09-30
Arden Group A,COM,039762109,1088,7800,SH,,Other,0,0,7800,01,2007-09-30
Arkansas Best,Corp,040790107,480,14700,SH,,Other,0,0,14700,01,2007-09-30
Atrion Corp,COM,049904105,688,5500,SH,,Other,0,0,5500,01,2007-09-30
Avnet Inc,COM,053807103,2271,56975,SH,,Other,0,0,56975,02,2007-09-30
Avx Corp,COM,002444107,299,18600,SH,,Other,0,0,18600,01,2007-09-30
Bearingpoint Inc,COM,074002106,905,223500,SH,,Other,0,0,223500,02,2007-09-30
Bio Rad Labs Cl A,COM,090572207,1964,21700,SH,,Other,0,0,21700,01,2007-09-30
Bjs Whsl Club Inc,COM,05548J106,225,6800,SH,,Other,0,0,6800,01,2007-09-30
Blue Coat Sys COM 09534T508 291 3689 SH,SOLE,,,,,,,3689,0,0,,2007-09-30
Bombardier Inc Cl B,COM,097751200,2541,426350,SH,,Other,0,0,426350,02,2007-09-30
Boston Scientific Corp,COM,101137107,631,45200,SH,,Other,0,0,45200,02,2007-09-30
Bowl Amer Inc Cl A,COM,102565108,467,29000,SH,,Other,0,0,29000,01,2007-09-30
Brown Shoe Inc,COM,115736100,605,31200,SH,,Other,0,0,31200,01,2007-09-30
Callidus Software Inc COM 13123E500 664 77228 SH,SOLE,,,,,,,77228,0,0,,2007-09-30
Cameco Corp,COM,13321L108,1420,30700,SH,,Other,0,0,30700,02,2007-09-30
Carlisle Companies Inc,COM,142339100,957,19700,SH,,Other,0,0,19700,01,2007-09-30
Carpenter Tech Corp,COM,144285103,1456,11200,SH,,Other,0,0,11200,01,2007-09-30
Carter Inc,COM,146229109,383,19200,SH,,Other,0,0,19200,01,2007-09-30
Cascade Corp,COM,147195101,867,13300,SH,,Other,0,0,13300,01,2007-09-30
CDW Corp,COM,12512N105,1005,11527,SH,,Sole,11527,0,0,,2007-09-30
CEC Entmt Inc,COM,125137109,484,18000,SH,,Other,0,0,18000,01,2007-09-30
Celestica Sub Vtg,COM,15101Q108,1077,176250,SH,,Other,0,0,176250,02,2007-09-30
Chemtura Corp,COM,163893100,578,65050,SH,,Other,0,0,65050,02,2007-09-30
Chicos Fas,COM,168615102,460,32750,SH,,Other,0,0,32750,02,2007-09-30
Countrywide Finl Corp,COM,222372104,3803,200050,SH,,Other,0,0,200050,02,2007-09-30
CSS Inds Inc,COM,125906107,1133,31500,SH,,Other,0,0,31500,01,2007-09-30
CSX Corp,COM,126408103,1728,40450,SH,,Other,0,0,40450,02,2007-09-30
Curtiss Wright Corp,COM,231561101,1133,23850,SH,,Other,0,0,23850,02,2007-09-30
Cyberoptics Corp,COM,232517102,274,22300,SH,,Other,0,0,22300,01,2007-09-30
Cytec Ind,COM,232820100,1395,20400,SH,,Other,0,0,20400,02,2007-09-30
Deb Shops Inc,COM,242728103,1028,38226,SH,,Other,0,0,38226,01,2007-09-30
DeVRY Inc Del,COM,251893103,11388,307706,SH,,Sole,307706,0,0,,2007-09-30
Dorman Prods Inc,COM,258278100,812,57500,SH,,Other,0,0,57500,01,2007-09-30
Downey Finl Corp,COM,261018105,3653,63200,SH,,Other,0,0,63200,02,2007-09-30
D R Horton Inc,COM,23331A109,3460,270100,SH,,Other,0,0,270100,02,2007-09-30
Escalade Inc,COM,296056104,593,60000,SH,,Other,0,0,60000,01,2007-09-30
Ethan Allen Int,COM,297602104,719,22000,SH,,Other,0,0,22000,01,2007-09-30
First American Corp,COM,318522307,1320,36050,SH,,Other,0,0,36050,02,2007-09-30
Frischs Rstaurnts Inc,COM,358748101,622,21500,SH,,Other,0,0,21500,01,2007-09-30
Genlyte Group Inc,COM,372302109,803,12500,SH,,Other,0,0,12500,01,2007-09-30
Genworth Finl Inc Cl,A,37247D106,2707,88100,SH,,Other,0,0,88100,02,2007-09-30
Goodrich Corp,COM,382388106,2214,32450,SH,,Other,0,0,32450,02,2007-09-30
Hilb Rogal & Hobbs,COM,431294107,1560,36000,SH,,Other,0,0,36000,01,2007-09-30
Hubbell Inc Cl B,COM,443510201,514,9000,SH,,Other,0,0,9000,01,2007-09-30
Hunt J B Trans Svcs,COM,445658107,1698,64550,SH,,Other,0,0,64550,02,2007-09-30
Hurco Co,COM,447324104,460,8500,SH,,Other,0,0,8500,01,2007-09-30
Imation Corp,COM,45245A107,356,14500,SH,,Other,0,0,14500,01,2007-09-30
Insteel Inds Inc,COM,45774W108,844,55000,SH,,Other,0,0,55000,01,2007-09-30
Intl Rectifier Corp,COM,460254105,1801,54600,SH,,Other,0,0,54600,02,2007-09-30
Istar Finl Inc,COM,45031U101,580,17050,SH,,Other,0,0,17050,02,2007-09-30
Jack In Box Inc,COM,466367109,292,4500,SH,,Other,0,0,4500,01,2007-09-30
K Tron Intl Inc,COM,482730108,570,6000,SH,,Other,0,0,6000,01,2007-09-30
Kennametal Inc,CAP,489170100,689,8200,SH,,Other,0,0,8200,01,2007-09-30
K Swiss Inc,A,482686102,596,26000,SH,,Other,0,0,26000,01,2007-09-30
Lancaster Colony,COM,513847103,1241,32500,SH,,Other,0,0,32500,01,2007-09-30
Lawson Prods Inc,COM,520776105,1114,32000,SH,,Other,0,0,32000,01,2007-09-30
Liberty Media Corp,COM,53071M302,1879,15050,SH,,Other,0,0,15050,02,2007-09-30
Lubrizol Corp,COM,549271104,618,9500,SH,,Other,0,0,9500,01,2007-09-30
Magna Intl Inc,COM,559222401,1599,16600,SH,,Other,0,0,16600,02,2007-09-30
Massey Energy,COM,576206106,1730,79300,SH,,Other,0,0,79300,02,2007-09-30
Mbia Inc,COM,55262C100,1004,16450,SH,,Other,0,0,16450,02,2007-09-30
Mellanox Technologies Ltd COM M51363113 469 23996 SH,SOLE,,,,,,,23996,0,0,,2007-09-30
Merck & Co Inc COM 589331107 547 10579 SH,SOLE,,,,,,,10579,0,0,,2007-09-30
Met Pro Corp,COM,590876306,189,11700,SH,,Other,0,0,11700,01,2007-09-30
MFC Ishares Mid Val,,464287473,5730,37875,SH,,Other,0,0,37875,02,2007-09-30
Mks Instrs Inc,COM,55306N104,430,22600,SH,,Other,0,0,22600,01,2007-09-30
Mps Group Inc,COM,553409103,196,17600,SH,,Other,0,0,17600,01,2007-09-30
Natco Group Inc CL A,COM,553409103,233,4500,SH,,Other,0,0,4500,01,2007-09-30
Natl Cy Corp,COM,635405103,492,19600,SH,,Other,0,0,19600,02,2007-09-30
Natl Presto Inds Inc,COM,637215104,1696,32000,SH,,Other,0,0,32000,01,2007-09-30
Navistar Intl,COM,63934E108,8168,132378,SH,,Other,0,0,132378,02,2007-09-30
Nordson Corp,COM,655663102,477,9500,SH,,Other,0,0,9500,01,2007-09-30
Omnicare Inc,COM,681904108,2619,79050,SH,,Other,0,0,79050,02,2007-09-30
Park Electrochem Corp,COM,700416209,984,29300,SH,,Other,0,0,29300,01,2007-09-30
Qimonda AG Adr,COM,746904101,577,51050,SH,,Other,0,0,51050,02,2007-09-30
Quanex Corp,COM,747620102,893,19000,SH,,Other,0,0,19000,01,2007-09-30
Radian Group Inc,COM,750236101,2245,96450,SH,,Other,0,0,96450,02,2007-09-30
Redwood Tr Inc,COM,758075402,2174,65450,SH,,Other,0,0,65450,02,2007-09-30
Regal Beloit Corp,COM,758750103,862,18000,SH,,Other,0,0,18000,01,2007-09-30
Reliant Energy Inc,COM,75952B105,5348,208900,SH,,Other,0,0,208900,02,2007-09-30
Renaissance Re Hldgs Ltd,COM,G7496G103,1531,23400,SH,,Other,0,0,23400,02,2007-09-30
Rimage Corp,COM,766721104,260,11600,SH,,Other,0,0,11600,01,2007-09-30
Rofin Sinar Tech,COM,775043102,1720,24500,SH,,Other,0,0,24500,01,2007-09-30
Royal Carribbean,COM,V7780T103,1928,49400,SH,,Other,0,0,49400,02,2007-09-30
RPC Inc,COM,749660106,279,19600,SH,,Other,0,0,19600,01,2007-09-30
Schulman A Inc,COM,808194104,274,13900,SH,,Other,0,0,13900,01,2007-09-30
Smithfield Foods Inc,COM,832248108,454,14400,SH,,Other,0,0,14400,02,2007-09-30
Sourcefire Inc COM 83616T108 698 76874 SH,SOLE,,,,,,,76874,0,0,,2007-09-30
Sovereign Bancorp Inc,COM,845905108,418,24550,SH,,,0,0,24550,02,2007-09-30
Standex Intl Corp,COM,854231107,776,37500,SH,,Other,0,0,37500,01,2007-09-30
Sun Hydraulics Corp COM 866942105 132 4150 SH,OTher,,,,,,,0,0,4150,01,2007-09-30
Superior Well Inc,COM,86837X105,368,16200,SH,,Other,0,0,16200,01,2007-09-30
Thomas & Betts Corp,COM,884315102,880,15000,SH,,Other,0,0,15000,01,2007-09-30
Trico Marine Svcs Inc,COM,896106200,611,20500,SH,,Other,0,0,20500,01,2007-09-30
Tyson Foods Inc Cl A,COM,902494103,478,26800,SH,,Other,0,0,26800,02,2007-09-30
Unum Corp,COM,91529Y106,978,39950,SH,,Other,0,0,39950,02,2007-09-30
Visteon Corp,COM,92839U107,815,158300,SH,,Other,0,0,158300,02,2007-09-30
Wabtec Corp,COM,929740108,356,9500,SH,,Other,0,0,9500,01,2007-09-30
Watsco Inc,COM,942622200,488,10500,SH,,Other,0,0,10500,01,2007-09-30
Watson Wyatt Hldgs A,COM,942712100,449,10000,SH,,Other,0,0,10000,01,2007-09-30
XM Satlite Radio Hldgs,COM,983759101,2986,210700,SH,,Other,0,0,210700,02,2007-09-30
Zygo Corp,COM,989855101,133,10200,SH,,Other,0,0,10200,01,2007-09-30
AU Optronics Corp,ADR,002255107,3581,208196,SH,,Other,0,0,208196,02,2007-06-30
Adv Semiconductor,ADR,00756M404,489,71644,SH,,Other,0,0,71644,02,2007-06-30
Adv Medic,Optics,00763M108,228,6550,SH,,Other,0,0,6550,02,2007-06-30
Agco Corp,COM,001084102,4202,96800,SH,,Other,0,0,96800,02,2007-06-30
Alexander & Baldwin Inc,COM,014482103,1110,20900,SH,,Other,0,0,20900,02,2007-06-30
Ampco Corp,COM,032037103,553,13800,SH,,Other,0,0,13800,01,2007-06-30
Andrew Corp,COM,034425108,1875,129850,SH,,Other,0,0,129850,02,2007-06-30
Annaly Cap Mgmt Inc,COM,035710409,6051,419600,SH,,Other,0,0,419600,02,2007-06-30
Anntaylor Stores Corp,COM,036115103,779,22000,SH,,Other,0,0,22000,01,2007-06-30
Applied Indl Tech,COM,03820C105,826,28000,SH,,Other,0,0,28000,01,2007-06-30
Arch Cap Group,COM,G0450A105,1988,27400,SH,,Sole,27400,0,0,,2007-06-30
Arch Coal Inc,COM,039380100,5751,165250,SH,,Other,0,0,165250,02,2007-06-30
Arden Group A,COM,039762109,1091,8000,SH,,Other,0,0,8000,01,2007-06-30
Arkansas Best,Corp,040790107,604,15500,SH,,Other,0,0,15500,01,2007-06-30
Atrion Corp,COM,049904105,490,5000,SH,,Other,0,0,5000,01,2007-06-30
Avnet Inc,COM,053807103,2645,66725,SH,,Other,0,0,66725,02,2007-06-30
Avx Corp,COM,002444107,254,15200,SH,,Other,0,0,15200,01,2007-06-30
Bearingpoint Inc,COM,074002106,1185,162050,SH,,Other,0,0,162050,02,2007-06-30
Berkshire Hathaway Inc CL B,COM,084670207,18746,5200,SH,,Sole,5200,0,0,,2007-06-30
Berkshire Hathaway Inc CL A,COM,084670108,11495,105,SH,,Sole,105,0,0,,2007-06-30
Bio Rad Labs Cl A,COM,090572207,1640,21700,SH,,Other,0,0,21700,01,2007-06-30
Bjs Whsl Club Inc,COM,05548J106,252,7000,SH,,Other,0,0,7000,01,2007-06-30
